raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_100_RtExu-D-EcoFAB-Brachy-Axenic_4_Reinj_444.raw,nmdc:bsm-11-9bd9gw03,LabD_04_Axe_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_101_RtExu-D-EcoFAB-Brachy-Axenic_5__266.raw,nmdc:bsm-11-atjxz069,LabD_05_Axe_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_102_RtExu-D-EcoFAB-Brachy-Axenic_6__305.raw,nmdc:bsm-11-yr7zg844,LabD_06_Axe_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_103_RtExu-D-EcoFAB-Brachy-Axenic_7__363.raw,nmdc:bsm-11-gxdrn484,LabD_07_Axe_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_104_RtExu-D-EcoFAB-Brachy-SynCom16_1__037.raw,nmdc:bsm-11-x4en7x93,LabD_08_Syn16_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_105_RtExu-D-EcoFAB-Brachy-SynCom16_2_Reinj_438.raw,nmdc:bsm-11-rqcskm71,LabD_09_Syn16_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_106_RtExu-D-EcoFAB-Brachy-SynCom16_3__126.raw,nmdc:bsm-11-7qjb7v06,LabD_10_Syn16_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_107_RtExu-D-EcoFAB-Brachy-SynCom16_4__161.raw,nmdc:bsm-11-k2w4r482,LabD_11_Syn16_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_108_RtExu-D-EcoFAB-Brachy-SynCom16_5__283.raw,nmdc:bsm-11-629yaj45,LabD_12_Syn16_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_109_RtExu-D-EcoFAB-Brachy-SynCom16_6__295.raw,nmdc:bsm-11-9ype9h42,LabD_13_Syn16_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_10_RtExu-A-EcoFAB-Brachy-SynCom16_3__145.raw,nmdc:bsm-11-rp1dmm82,LabA_10_Syn16_3,high,ProcessedSample1_metab,metab
