raw_data_identifier,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_110_RtExu-D-EcoFAB-Brachy-SynCom16_7_Reinj2_576.raw,nmdc:bsm-11-nfjfn069,LabD_14_Syn16_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_111_RtExu-D-EcoFAB-Brachy-SynCom17_1__044.raw,nmdc:bsm-11-aeddj751,LabD_15_Syn17_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_112_RtExu-D-EcoFAB-Brachy-SynCom17_2__066.raw,nmdc:bsm-11-bp3vjp67,LabD_16_Syn17_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_113_RtExu-D-EcoFAB-Brachy-SynCom17_3__153.raw,nmdc:bsm-11-tg2fkx98,LabD_17_Syn17_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_114_RtExu-D-EcoFAB-Brachy-SynCom17_4__203.raw,nmdc:bsm-11-rwfg6484,LabD_18_Syn17_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_115_RtExu-D-EcoFAB-Brachy-SynCom17_5_Reinj2_593.raw,nmdc:bsm-11-q0j1j579,LabD_19_Syn17_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_116_RtExu-D-EcoFAB-Brachy-SynCom17_6__334.raw,nmdc:bsm-11-3k70k365,LabD_20_Syn17_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_117_RtExu-D-EcoFAB-Brachy-SynCom17_7__357.raw,nmdc:bsm-11-jfxaxq36,LabD_21_Syn17_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_118_TxCtrl-D-EcoFAB-Medium-Sterile_1__056.raw,nmdc:bsm-11-sn0xpa14,LabD_22_TxCtrl_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_119_TxCtrl-D-EcoFAB-Medium-Sterile_2__077.raw,nmdc:bsm-11-8yc50026,LabD_23_TxCtrl_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_11_RtExu-A-EcoFAB-Brachy-SynCom16_4__165.raw,nmdc:bsm-11-ns971194,LabA_11_Syn16_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_120_TxCtrl-D-EcoFAB-Medium-Sterile_3__151.raw,nmdc:bsm-11-jr4j9h39,LabD_24_TxCtrl_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_121_TxCtrl-D-EcoFAB-Medium-Sterile_4_Reinj_475.raw,nmdc:bsm-11-rmvker47,LabD_25_TxCtrl_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_122_TxCtrl-D-EcoFAB-Medium-Sterile_5_Reinj2_522.raw,nmdc:bsm-11-zpp4e345,LabD_26_TxCtrl_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_123_TxCtrl-D-EcoFAB-Medium-Sterile_6__330.raw,nmdc:bsm-11-ac45fp73,LabD_27_TxCtrl_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_124_TxCtrl-D-EcoFAB-Medium-Sterile_7__378.raw,nmdc:bsm-11-93c34e28,LabD_28_TxCtrl_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_129_RtExu-E-EcoFAB-Brachy-Axenic_1_Reinj_487.raw,nmdc:bsm-11-7eb1ca11,LabE_01_Axe_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_12_RtExu-A-EcoFAB-Brachy-SynCom16_5__262.raw,nmdc:bsm-11-mh79nb81,LabA_12_Syn16_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_130_RtExu-E-EcoFAB-Brachy-Axenic_2__083.raw,nmdc:bsm-11-6mhhe280,LabE_02_Axe_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_131_RtExu-E-EcoFAB-Brachy-Axenic_3_Reinj2_534.raw,nmdc:bsm-11-e3dqbt44,LabE_03_Axe_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_132_RtExu-E-EcoFAB-Brachy-Axenic_4_Reinj_403.raw,nmdc:bsm-11-57065s27,LabE_04_Axe_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_133_RtExu-E-EcoFAB-Brachy-Axenic_5__218.raw,nmdc:bsm-11-5z1jah62,LabE_05_Axe_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_134_RtExu-E-EcoFAB-Brachy-Axenic_6__291.raw,nmdc:bsm-11-7q0tq290,LabE_06_Axe_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_135_RtExu-E-EcoFAB-Brachy-Axenic_7__373.raw,nmdc:bsm-11-y4jm9d42,LabE_07_Axe_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_136_RtExu-E-EcoFAB-Brachy-SynCom16_1__013.raw,nmdc:bsm-11-q9cpse51,LabE_08_Syn16_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_137_RtExu-E-EcoFAB-Brachy-SynCom16_2__093.raw,nmdc:bsm-11-4y0frx96,LabE_09_Syn16_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_138_RtExu-E-EcoFAB-Brachy-SynCom16_3_Reinj_452.raw,nmdc:bsm-11-jrdbmk15,LabE_10_Syn16_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_139_RtExu-E-EcoFAB-Brachy-SynCom16_4_Reinj_421.raw,nmdc:bsm-11-6vbr8c12,LabE_11_Syn16_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_13_RtExu-A-EcoFAB-Brachy-SynCom16_6__328.raw,nmdc:bsm-11-yn65m210,LabA_13_Syn16_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_140_RtExu-E-EcoFAB-Brachy-SynCom16_5__264.raw,nmdc:bsm-11-7qyr4e39,LabE_12_Syn16_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_141_RtExu-E-EcoFAB-Brachy-SynCom16_6_Reinj2_574.raw,nmdc:bsm-11-btqpfk48,LabE_13_Syn16_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_142_RtExu-E-EcoFAB-Brachy-SynCom16_7__359.raw,nmdc:bsm-11-9km6ce82,LabE_14_Syn16_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_143_RtExu-E-EcoFAB-Brachy-SynCom17_1_Reinj2_595.raw,nmdc:bsm-11-cet53e85,LabE_15_Syn17_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_144_RtExu-E-EcoFAB-Brachy-SynCom17_2__097.raw,nmdc:bsm-11-ze3v5k36,LabE_16_Syn17_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_145_RtExu-E-EcoFAB-Brachy-SynCom17_3__112.raw,nmdc:bsm-11-a6r4tr70,LabE_17_Syn17_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_146_RtExu-E-EcoFAB-Brachy-SynCom17_4__183.raw,nmdc:bsm-11-vmng0j37,LabE_18_Syn17_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_147_RtExu-E-EcoFAB-Brachy-SynCom17_5__287.raw,nmdc:bsm-11-gy481c91,LabE_19_Syn17_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_148_RtExu-E-EcoFAB-Brachy-SynCom17_6__316.raw,nmdc:bsm-11-bkaq0225,LabE_20_Syn17_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_149_RtExu-E-EcoFAB-Brachy-SynCom17_7__361.raw,nmdc:bsm-11-z9787c48,LabE_21_Syn17_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_14_RtExu-A-EcoFAB-Brachy-SynCom16_7__340.raw,nmdc:bsm-11-r2rmke82,LabA_14_Syn16_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_150_TxCtrl-E-EcoFAB-Medium-Sterile_1__015.raw,nmdc:bsm-11-t9g52730,LabE_22_TxCtrl_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_151_TxCtrl-E-EcoFAB-Medium-Sterile_2__079.raw,nmdc:bsm-11-k6brat40,LabE_23_TxCtrl_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_152_TxCtrl-E-EcoFAB-Medium-Sterile_3__124.raw,nmdc:bsm-11-112jxh69,LabE_24_TxCtrl_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_153_TxCtrl-E-EcoFAB-Medium-Sterile_4__157.raw,nmdc:bsm-11-z6tprk20,LabE_25_TxCtrl_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_154_TxCtrl-E-EcoFAB-Medium-Sterile_5_Added_249.raw,nmdc:bsm-11-fqp2mq07,LabE_26_TxCtrl_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_155_TxCtrl-E-EcoFAB-Medium-Sterile_6__303.raw,nmdc:bsm-11-8jk2bw63,LabE_27_TxCtrl_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_156_TxCtrl-E-EcoFAB-Medium-Sterile_7__369.raw,nmdc:bsm-11-1zx6fg10,LabE_28_TxCtrl_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_15_RtExu-A-EcoFAB-Brachy-SynCom17_1__025.raw,nmdc:bsm-11-13rnnv18,LabA_15_Syn17_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_16_RtExu-A-EcoFAB-Brachy-SynCom17_2__072.raw,nmdc:bsm-11-0ahthd94,LabA_16_Syn17_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_17_RtExu-A-EcoFAB-Brachy-SynCom17_3__147.raw,nmdc:bsm-11-pa6tvy76,LabA_17_Syn17_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_18_RtExu-A-EcoFAB-Brachy-SynCom17_4_badinj_181.raw,nmdc:bsm-11-ty269g72,LabA_18_Syn17_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_19_RtExu-A-EcoFAB-Brachy-SynCom17_5__214.raw,nmdc:bsm-11-n6479f35,LabA_19_Syn17_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_1_RtExu-A-EcoFAB-Brachy-Axenic_1__052.raw,nmdc:bsm-11-442x9w41,LabA_01_Axe_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_20_RtExu-A-EcoFAB-Brachy-SynCom17_6__312.raw,nmdc:bsm-11-hergt909,LabA_20_Syn17_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_21_RtExu-A-EcoFAB-Brachy-SynCom17_7__336.raw,nmdc:bsm-11-vx8ys961,LabA_21_Syn17_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_22_TxCtrl-A-EcoFAB-Medium-Sterile_1__048.raw,nmdc:bsm-11-954kpx45,LabA_22_TxCtrl_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_23_TxCtrl-A-EcoFAB-Medium-Sterile_2__068.raw,nmdc:bsm-11-h1810p95,LabA_23_TxCtrl_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_24_TxCtrl-A-EcoFAB-Medium-Sterile_3__114.raw,nmdc:bsm-11-6kpc6j55,LabA_24_TxCtrl_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_25_TxCtrl-A-EcoFAB-Medium-Sterile_4__191.raw,nmdc:bsm-11-83e83s62,LabA_25_TxCtrl_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_26_TxCtrl-A-EcoFAB-Medium-Sterile_5__279.raw,nmdc:bsm-11-xfh3dd20,LabA_26_TxCtrl_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_27_TxCtrl-A-EcoFAB-Medium-Sterile_6__293.raw,nmdc:bsm-11-45y9mx30,LabA_27_TxCtrl_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_28_TxCtrl-A-EcoFAB-Medium-Sterile_7__347.raw,nmdc:bsm-11-aejbnh36,LabA_28_TxCtrl_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_2_RtExu-A-EcoFAB-Brachy-Axenic_2__070.raw,nmdc:bsm-11-1nsdsc26,LabA_02_Axe_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_33_RtExu-B-EcoFAB-Brachy-Axenic_1__050.raw,nmdc:bsm-11-x255p785,LabB_01_Axe_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_34_RtExu-B-EcoFAB-Brachy-Axenic_2__103.raw,nmdc:bsm-11-dwvcn565,LabB_02_Axe_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_35_RtExu-B-EcoFAB-Brachy-Axenic_3__105.raw,nmdc:bsm-11-pcsyhc74,LabB_03_Axe_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_36_RtExu-B-EcoFAB-Brachy-Axenic_4_badinj_169.raw,nmdc:bsm-11-776w0167,LabB_04_Axe_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_37_RtExu-B-EcoFAB-Brachy-Axenic_5__216.raw,nmdc:bsm-11-mj8x9p33,LabB_05_Axe_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_38_RtExu-B-EcoFAB-Brachy-Axenic_6__322.raw,nmdc:bsm-11-aq96zb32,LabB_06_Axe_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_39_RtExu-B-EcoFAB-Brachy-Axenic_7__380.raw,nmdc:bsm-11-brs7pn04,LabB_07_Axe_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_3_RtExu-A-EcoFAB-Brachy-Axenic_3__118.raw,nmdc:bsm-11-6dfw2x66,LabA_03_Axe_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_40_RtExu-B-EcoFAB-Brachy-SynCom16_1__027.raw,nmdc:bsm-11-c8b1e472,LabB_08_Syn16_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_41_RtExu-B-EcoFAB-Brachy-SynCom16_2_Reinj_500.raw,nmdc:bsm-11-w93pvn61,LabB_09_Syn16_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_42_RtExu-B-EcoFAB-Brachy-SynCom16_3__132.raw,nmdc:bsm-11-1vzn7q59,LabB_10_Syn16_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_43_RtExu-B-EcoFAB-Brachy-SynCom16_4_Reinj_448.raw,nmdc:bsm-11-qb4jy084,LabB_11_Syn16_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_44_RtExu-B-EcoFAB-Brachy-SynCom16_5__258.raw,nmdc:bsm-11-xyw8rz73,LabB_12_Syn16_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_45_RtExu-B-EcoFAB-Brachy-SynCom16_6_Reinj2_570.raw,nmdc:bsm-11-729ztw69,LabB_13_Syn16_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_46_RtExu-B-EcoFAB-Brachy-SynCom16_7__355.raw,nmdc:bsm-11-gm2c2910,LabB_14_Syn16_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_47_RtExu-B-EcoFAB-Brachy-SynCom17_1__031.raw,nmdc:bsm-11-6a4v6p04,LabB_15_Syn17_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_48_RtExu-B-EcoFAB-Brachy-SynCom17_2_Reinj_440.raw,nmdc:bsm-11-c0x8c549,LabB_16_Syn17_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_49_RtExu-B-EcoFAB-Brachy-SynCom17_3_Reinj_465.raw,nmdc:bsm-11-6f5zvw02,LabB_17_Syn17_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_4_RtExu-A-EcoFAB-Brachy-Axenic_4_Reinj_436.raw,nmdc:bsm-11-4mxkv411,LabA_04_Axe_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_50_RtExu-B-EcoFAB-Brachy-SynCom17_4__167.raw,nmdc:bsm-11-3srygf50,LabB_18_Syn17_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_51_RtExu-B-EcoFAB-Brachy-SynCom17_5__268.raw,nmdc:bsm-11-w23bxd55,LabB_19_Syn17_5,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_52_RtExu-B-EcoFAB-Brachy-SynCom17_6__307.raw,nmdc:bsm-11-a7bxxs53,LabB_20_Syn17_6,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_53_RtExu-B-EcoFAB-Brachy-SynCom17_7__382.raw,nmdc:bsm-11-jakxpg14,LabB_21_Syn17_7,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_54_TxCtrl-B-EcoFAB-Medium-Sterile_1__033.raw,nmdc:bsm-11-d7mwm979,LabB_22_TxCtrl_1,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_55_TxCtrl-B-EcoFAB-Medium-Sterile_2__087.raw,nmdc:bsm-11-0cqdm784,LabB_23_TxCtrl_2,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_56_TxCtrl-B-EcoFAB-Medium-Sterile_3__138.raw,nmdc:bsm-11-vg4qr366,LabB_24_TxCtrl_3,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_57_TxCtrl-B-EcoFAB-Medium-Sterile_4__179.raw,nmdc:bsm-11-z4fryw87,LabB_25_TxCtrl_4,high,ProcessedSample1_metab,metab
20240225_EB_VN_106100-001_RingTrial2_20230627_EXP120A_HILICZ_USHXG02065_POS_MS2_58_TxCtrl-B-EcoFAB-Medium-Sterile_5__256.raw,nmdc:bsm-11-r6ajaz03,LabB_26_TxCtrl_5,high,ProcessedSample1_metab,metab
