file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_79_A-D-7_3_Rg80to1200-CE102040-root-C22-S1_Run213.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_79_A-D-7_3_Rg80to1200-CE102040-root-C22-S1_Run213.raw,79713046,.raw,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['positive'],100.0,998.0,0.0010643269333333331,11.504322588283333,2022-02-05 13:16:41.807032,6052,2025-10-31T16:26:27.540000
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_36_A-C-3_1_Rg80to1200-CE102040-root-I12-S1_Run88.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_36_A-C-3_1_Rg80to1200-CE102040-root-I12-S1_Run88.raw,76233091,.raw,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['negative'],102.0,982.0,0.009453763183333333,11.506941858916667,2022-02-04 11:13:30.246536,5388,2025-10-31T16:05:59.580000
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_15_A-C-2_2_Rg70to1050-CE102040-root-F2-S1_Run137.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_15_A-C-2_2_Rg70to1050-CE102040-root-F2-S1_Run137.raw,92524485,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],50.0,970.0,0.0046228475,21.003838,2022-02-20 15:40:14.216880,7445,2025-10-31T16:52:42.940000
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run65.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run65.raw,91988542,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],50.0,975.0,0.0076891131,21.001422,2022-02-19 12:58:55.923624,7320,2025-10-31T16:47:13.550000
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run64.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_44_B-C-4_1_Rg70to1050-CE102040-root-F12-S1_Run64.raw,93332577,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],102.0,960.0,0.0046311166,21.001337,2022-02-19 12:36:37.927072,7435,2025-10-31T16:05:15.330000
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_10_A-C-0_4_Rg70to1050-CE102040-root-J4-S1_Run217.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_10_A-C-0_4_Rg70to1050-CE102040-root-J4-S1_Run217.raw,92216506,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],50.0,970.0,0.0046186354,21.00175,2022-02-21 21:16:48.631928,7445,2025-10-31T15:55:04.580000
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_65_A-C-5_1_Rg80to1200-CE102040-root-G24-S1_Run76.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_65_A-C-5_1_Rg80to1200-CE102040-root-G24-S1_Run76.raw,76094718,.raw,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['negative'],102.0,992.0,0.00949506375,11.501854926666665,2022-02-04 08:41:43.519864,5369,2025-10-31T16:50:14.900000
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_70_B-D-7_1_Rg80to1200-CE102040-root-E22-S1_Run91.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_70_B-D-7_1_Rg80to1200-CE102040-root-E22-S1_Run91.raw,76231819,.raw,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['negative'],102.0,982.0,0.009478267433333333,11.501441720799999,2022-02-04 11:51:09.404776,5426,2025-10-31T16:47:53.990000
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_74_A-D-7_2_Rg70to1050-CE102040-root-C22-S1_Run159.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_74_A-D-7_2_Rg70to1050-CE102040-root-C22-S1_Run159.raw,91196981,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],50.0,970.0,0.004255965,20.999904,2022-02-20 23:49:10.377688,7436,2025-10-31T16:13:21.120000
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_46_A-D-4_2_Rg70to1050-CE102040-root-G13-S1_Run154.raw,/mnt/Volumes/LaCie/nmdc_data/_singer_11_46aje659/raw/20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_46_A-D-4_2_Rg70to1050-CE102040-root-G13-S1_Run154.raw,90456746,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],50.0,975.0,0.0077351477,21.00051,2022-02-20 21:58:12.335464,7305,2025-10-31T16:43:03.810000
