id,name,samp_name,gold_biosample_identifiers,insdc_biosample_identifiers
nmdc:bsm-11-rm4tg461,F7_A_BS,F7_A_BS,['gold:Gb0257531'],['biosample:SAMN18245673']
nmdc:bsm-11-hc871447,G13_A_BS,G13_A_BS,['gold:Gb0257515'],['biosample:SAMN18245174']
nmdc:bsm-11-ajqqpr16,A4_A_BS,A4_A_BS,['gold:Gb0257517'],['biosample:SAMN18247892']
nmdc:bsm-11-hfjyhq64,G1_B_BS,G1_B_BS,['gold:Gb0257536'],['biosample:SAMN18245782']
nmdc:bsm-11-8px2bb97,B8_A_BS,B8_A_BS,['gold:Gb0257537'],['biosample:SAMN18244784']
nmdc:bsm-11-ywames20,B10_A_BS,B10_A_BS,['gold:Gb0257513'],['biosample:SAMN18245750']
nmdc:bsm-11-r69hsp56,K6_A_BS,K6_A_BS,['gold:Gb0257527'],['biosample:SAMN18245745']
nmdc:bsm-11-251e0g86,A20_B_BS,A20_B_BS,['gold:Gb0257512'],['biosample:SAMN18244786']
nmdc:bsm-11-r0cne121,A10_A_BS,A10_A_BS,['gold:Gb0257529'],['biosample:SAMN18247986']
nmdc:bsm-11-m8q6sm18,G7_B_BS,G7_B_BS,['gold:Gb0257532'],['biosample:SAMN18244785']
nmdc:bsm-11-bea0n570,C17_B_BS,C17_B_BS,['gold:Gb0257524'],['biosample:SAMN18248536']
nmdc:bsm-11-e247fv35,B16_B_BS,B16_B_BS,['gold:Gb0257522'],['biosample:SAMN18248528']
nmdc:bsm-11-s2b8c589,D14_A_BS,D14_A_BS,['gold:Gb0257509'],['biosample:SAMN18245751']
nmdc:bsm-11-0ksnwp91,A26_B_BS,A26_B_BS,['gold:Gb0257518'],['biosample:SAMN18247678']
nmdc:bsm-11-dj3xhb53,H7_B_BS,H7_B_BS,['gold:Gb0257520'],['biosample:SAMN18246891']
nmdc:bsm-11-cf4nn421,E26_B_BS,E26_B_BS,['gold:Gb0257530'],['biosample:SAMN18245743']
nmdc:bsm-11-fhtz0q75,A25_A_BS,A25_A_BS,['gold:Gb0257521'],['biosample:SAMN18248380']
nmdc:bsm-11-qcm45k12,D23_B_BS,D23_B_BS,['gold:Gb0257526'],['biosample:SAMN18246368']
nmdc:bsm-11-4syar666,D23_A_BS,D23_A_BS,['gold:Gb0257525'],['biosample:SAMN18244762']
nmdc:bsm-11-p04t7c85,D25_B_BS,D25_B_BS,['gold:Gb0257534'],['biosample:SAMN18245557']
nmdc:bsm-11-j8jtmc07,J11_A_BS,J11_A_BS,['gold:Gb0257535'],['biosample:SAMN18245123']
