file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,ms2_types,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time,error
60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d/60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d,0,.d,Error processing 60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d/60920_2_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_13995.d does not seem to be a valid Solarix Mass Spectrum,2026-06-30T23:09:46.032059,,,,,,,,,,,,,,
60920_2_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14078.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14078.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.503,13.503,2023-12-23T09:10:00-08:00,1.0,2026-07-01T00:33:09.603668,
60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5098,13.5098,2023-12-25T10:39:51-08:00,1.0,2026-07-01T01:29:15.431902,
60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d/60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d,0,.d,Error processing 60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d/60920_2_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14133.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T01:27:52.435175,,,,,,,,,,,,,,
60920_2_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_22_1_14023.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_22_1_14023.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5036,13.5036,2023-12-22T08:47:28-08:00,1.0,2026-06-30T23:42:53.677388,
60920_2_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_22_1_14101.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_22_1_14101.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5032,13.5032,2023-12-24T20:28:56-08:00,1.0,2026-07-01T00:56:38.277419,
60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5008,13.5008,2023-12-26T02:10:34-08:00,1.0,2026-07-01T02:09:05.329467,
60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d/60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d,0,.d,Error processing 60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d/60920_2_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_22_1_14168.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:07:46.833170,,,,,,,,,,,,,,
60920_2_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_14049.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_3_1_14049.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.503,13.503,2023-12-22T20:18:48-08:00,1.0,2026-07-01T00:09:51.651329,
60920_2_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14112.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_3_1_14112.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5029,13.5029,2023-12-25T01:21:27-08:00,1.0,2026-07-01T01:08:59.987166,
60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5003,13.5003,2023-12-26T14:35:07-08:00,1.0,2026-07-01T02:40:32.117998,
60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d/60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d,0,.d,Error processing 60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d/60920_2_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_3_1_14196.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T02:39:13.645375,,,,,,,,,,,,,,
60920_3_B_1_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14010.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r1_Mag_21Dec23_300SA_p01_6_1_14010.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.4998,13.4998,2023-12-22T03:01:47-08:00,1.0,2026-06-30T23:28:26.149807,
60920_3_B_1_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14067.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r2_Mag_21Dec23_300SA_p01_6_1_14067.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.503,13.503,2023-12-23T04:17:30-08:00,1.0,2026-07-01T00:24:37.327730,
60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.503,13.503,2023-12-25T16:25:31-08:00,1.0,2026-07-01T01:43:07.997957,
60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d/60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d,0,.d,Error processing 60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d after 1 attempts: /mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d/60920_3_B_1_WEOM_r3_Mag_21Dec23_300SA_p01_6_1_14146.d does not seem to be a valid Solarix Mass Spectrum,2026-07-01T01:41:45.753454,,,,,,,,,,,,,,
60920_3_B_2_WEOM_r1_Mag_21Dec23_300SA_p01_25_1_14027.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r1_Mag_21Dec23_300SA_p01_25_1_14027.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5031,13.5031,2023-12-22T10:33:50-08:00,1.0,2026-06-30T23:46:29.450023,
60920_3_B_2_WEOM_r2_Mag_21Dec23_300SA_p01_25_1_14083.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r2_Mag_21Dec23_300SA_p01_25_1_14083.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5033,13.5033,2023-12-23T11:22:57-08:00,1.0,2026-07-01T00:39:15.317696,
60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d,/mnt/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_3_B_2_WEOM_r3_Mag_21Dec23_300SA_p01_25_1_14166.d,4096,.d,placeholder,placeholder,placeholder,profile,1.0,,,positive,107.48177329930104,1100.0111549919834,13.5006,13.5006,2023-12-26T01:17:23-08:00,1.0,2026-07-01T02:06:21.764832,
