file_name,file_path,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,polarity,mz_min,mz_max,rt_min,rt_max,write_time
3C8_6_26_palenik-42-s019-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/3C8_6_26_palenik-42-s019-a02.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,980.0000,0.0046187989,12.502872,2019-02-09 19:40:11.158984
1B12_1_33_metcalf-40-s013-a04.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/1B12_1_33_metcalf-40-s013-a04.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,860.0000,0.0045758636,12.501811,2019-02-06 03:21:04.242968
7H2_8_73_thomas-19-s030-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/7H2_8_73_thomas-19-s030-a02.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,995.0000,0.0036342493,12.500661,2019-02-05 21:41:53.850368
8F11_Schmidt56-soil-Peru-7-4.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/8F11_Schmidt56-soil-Peru-7-4.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,890.0000,0.0045810294,12.500072,2019-02-08 13:27:09.155080
6D2_5_28_mousseau-88-s086-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/6D2_5_28_mousseau-88-s086-a02.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,915.0000,0.0035761984,12.501805,2019-02-03 08:18:07.576024
5E7_4_20_mousseau-88-s015-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/5E7_4_20_mousseau-88-s015-a02.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,960.0000,0.0036370508,12.501724,2019-02-04 05:37:55.704576
8F9_Schmidt56-soil-Peru-25-3.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/8F9_Schmidt56-soil-Peru-25-3.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,885.0000,0.0045892509,12.502972,2019-02-08 13:00:17.672600
7B9_8_18_thomas-19-s041-a02.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/7B9_8_18_thomas-19-s041-a02.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,995.0000,0.0036287498,12.503529,2019-02-05 02:41:38.052008
8A6_MacRae3-soil-2.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/8A6_MacRae3-soil-2.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,890.0000,0.0046874992,12.501443,2019-02-07 19:42:17.527072
9B4_stegen-permafrost-t15-80m.raw,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_emp500_lcms/RAW/to_process/9B4_stegen-permafrost-t15-80m.raw,Q Exactive Orbitrap,Q Exactive Orbitrap,Exactive Series slot #1,['profile'],"[1, 2]",['positive'],100.0000,995.0000,0.0045775326,12.502067,2019-02-09 01:37:24.815280
