biosample_id,raw_data_identifier,last_processed_sample
nmdc:bsm-11-gcb2md35,7B12_8_21_song-51-s008-a04.raw,nmdc:procsm-11-pktrwn85
nmdc:bsm-11-5jw9p947,7C11_8_30_song-51-s015-a04.raw,nmdc:procsm-11-1h53zg50
nmdc:bsm-11-rhtezv89,7D7_8_37_song-51-s018-a04.raw,nmdc:procsm-11-rj0bhm33
nmdc:bsm-11-8fbm4j90,3E11_2_16_uren-82-s001-a04.raw,nmdc:procsm-11-aya0x575
nmdc:bsm-11-89q03t84,8H3_Seedorf71-PP1soil-8.raw,nmdc:procsm-11-yf8jxp09
nmdc:bsm-11-v68rva88,8E8_Schmidt56-soil-Nepal-5096.raw,nmdc:procsm-11-bszzgf23
nmdc:bsm-11-0ve03274,4C1_3_60_pinto-63-s003-a04.raw,nmdc:procsm-11-y6s30f19
nmdc:bsm-11-n5dtbe85,4D10_1_47_thomas-18-s034-a03.raw,nmdc:procsm-11-cy2hsg65
nmdc:bsm-11-8txch869,4G12_7_36_zaneveld-9-s004-a04.raw,nmdc:procsm-11-82c7ka98
nmdc:bsm-11-d088ph59,4C7_3_80_pinto-63-s009-a04.raw,nmdc:procsm-11-sg0p7574
nmdc:bsm-11-kbjn8y24,4A3_2_17_pinto-63-s016-a03.raw,nmdc:procsm-11-bzt5a889
nmdc:bsm-11-rhmm8j58,4A2_2_6_pinto-63-s023-a04.raw,nmdc:procsm-11-smcgq877
nmdc:bsm-11-vk2m2b53,2A4_3_37_jensen-43-s017-a03.raw,nmdc:procsm-11-km00tm12
nmdc:bsm-11-edac4v19,4A1_2_4_pinto-63-s024-a04.raw,nmdc:procsm-11-bg9c9658
nmdc:bsm-11-6wvmnx13,5C7_3_39_sandin-54-s005-a04.raw,nmdc:procsm-11-46vwsb32
nmdc:bsm-11-6kwr5c04,1B9_1_31_berry-2-s017-a04.raw,nmdc:procsm-11-6z7fsf26
nmdc:bsm-11-ehp0qr45,1E11_2_27_bowen-74-s010-a04.raw,nmdc:procsm-11-v37r9e58
nmdc:bsm-11-hbzqap28,4D11_1_48_thomas-18-s040-a03.raw,nmdc:procsm-11-mw1scb62
nmdc:bsm-11-k47vb326,4B2_2_57_pinto-63-s021-a04.raw,nmdc:procsm-11-y5zbep28
nmdc:bsm-11-pnk53a41,5A3_2_9_angenent-65-s002-a04.raw,nmdc:procsm-11-26e3r878
nmdc:bsm-11-fc8rcc81,4E3_1_58_thomas-18-s032-a04.raw,nmdc:procsm-11-qd2z5428
nmdc:bsm-11-jztbkk08,4B8_3_35_pinto-63-s004-a04.raw,nmdc:procsm-11-wsk4df65
nmdc:bsm-11-yjactw44,2B2_3_49_jensen-43-s014-a03.raw,nmdc:procsm-11-q2ma4v68
nmdc:bsm-11-hx5a6080,4D1_1_16_thomas-18-s031-a04.raw,nmdc:procsm-11-19ksr434
nmdc:bsm-11-851ejn28,4B3_2_65_pinto-63-s017-a03.raw,nmdc:procsm-11-z2sfx361
nmdc:bsm-11-74x7mx45,4D4_1_24_thomas-18-s033-a03.raw,nmdc:procsm-11-am6vwq72
nmdc:bsm-11-wwan3s29,5C10_3_57_sandin-54-s002-a04.raw,nmdc:procsm-11-ya31me76
nmdc:bsm-11-edap6131,4E11_1_75_thomas-18-s039-a04.raw,nmdc:procsm-11-hg16v864
nmdc:bsm-11-69qw4z81,4D12_1_51_thomas-18-s051-a04.raw,nmdc:procsm-11-nwkrn856
nmdc:bsm-11-pvh31c44,5B6_3_4_sandin-54-s010-a04.raw,nmdc:procsm-11-0hqjcp04
nmdc:bsm-11-vtnvjb29,4C5_3_71_pinto-63-s014-a04.raw,nmdc:procsm-11-wqwx3g16
nmdc:bsm-11-vma72763,7B7_8_16_song-51-s009-a04.raw,nmdc:procsm-11-chffv405
