raw_file_name,raw_file_type,biosample_id,biosample_name,match_confidence
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_75_A-C-7_1_Rg80to1200-CE102040-root-F21-S1_Run49.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_75_A-C-7_1_Rg80to1200-CE102040-root-F21-S1_Run50.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_75_A-C-7_1_Rg70to1050-CE102040-root-F21-S1_Run48.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_42_B-C-3_2_Rg80to1200-CE102040-root-B12-S1_Run117.raw,sample,nmdc:bsm-11-2vkkra88,B12_A_3_control,high
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_76_B-C-7_2_Rg70to1050-CE102040-root-F21-S1_Run147.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_76_B-C-7_2_Rg80to1200-CE102040-root-F21-S1_Run149.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_42_B-C-3_2_Rg70to1050-CE102040-root-B12-S1_Run114.raw,sample,nmdc:bsm-11-2vkkra88,B12_A_3_control,high
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_NEG_MSMS_75_A-C-7_1_Rg70to1050-CE102040-root-F21-S1_Run49.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_76_B-C-7_2_Rg80to1200-CE102040-root-F21-S1_Run150.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_76_B-C-7_2_Rg70to1050-CE102040-root-F21-S1_Run146.raw,sample,nmdc:bsm-11-rhh5sz73,F21_B_7_control,high
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_42_B-C-3_2_Rg80to1200-CE102040-root-B12-S1_Run116.raw,sample,nmdc:bsm-11-2vkkra88,B12_A_3_control,high
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_42_B-C-3_2_Rg70to1050-CE102040-root-B12-S1_Run113.raw,sample,nmdc:bsm-11-2vkkra88,B12_A_3_control,high
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_57_A-C-4_5_Rg80to1200-CE102040-root-I14-S1_Run251.raw,sample,,,multiple_matches
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_POS_MSMS_69_B-D-5_3_Rg80to1200-CE102040-root-A25-S1_Run204.raw,sample,,,multiple_matches
20220203_JGI-AK-TH_ES_504603_EcoPod_final_IDX_C18_USDAY59443_NEG_MSMS_17_A-C-2_3_Rg80to1200-CE102040-root-G2-S1_Run173.raw,sample,,,multiple_matches
20220218_JGI-AK-TH_ES_504603_EcoPod_final_QE-139_HILICZ_USHXG01825_POS_MSMS_4_A-C-0_1_Rg70to1050-CE102040-root-D2-S1_Run24.raw,sample,,,multiple_matches
