sample_id,biosample.associated_studies,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,raw_data_url
nmdc:bsm-11-302b5a66,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-110_statanox-12C-anox-44-000_2_Rg70to1050-CE102040-83-S1_Run186.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-110_statanox-12C-anox-44-000_2_Rg70to1050-CE102040-83-S1_Run186.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-06T14:10:45Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-110_statanox-12C-anox-44-000_2_Rg70to1050-CE102040-83-S1_Run186.mzML&forceDownload=true
nmdc:bsm-11-c6g7jb68,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run400.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run400.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-09T22:13:45Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run400.mzML&forceDownload=true
nmdc:bsm-11-c6g7jb68,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run401.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run401.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-09T22:35:47Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-178_flux8day-12C-oxic-44-000_5_Rg70to1050-CE102040-116-S1_Run401.mzML&forceDownload=true
nmdc:bsm-11-jyswqd53,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-170_flux4day-12C-oxic-44-000_4_Rg70to1050-CE102040-108-S1_Run375.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-170_flux4day-12C-oxic-44-000_4_Rg70to1050-CE102040-108-S1_Run375.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-09T13:02:32Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-170_flux4day-12C-oxic-44-000_4_Rg70to1050-CE102040-108-S1_Run375.mzML&forceDownload=true
nmdc:bsm-11-c6g7jb68,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-177_flux8day-12C-oxic-44-000_3_Rg70to1050-CE102040-115-S1_Run264.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-177_flux8day-12C-oxic-44-000_3_Rg70to1050-CE102040-115-S1_Run264.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-07T18:51:01Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-177_flux8day-12C-oxic-44-000_3_Rg70to1050-CE102040-115-S1_Run264.mzML&forceDownload=true
nmdc:bsm-11-302b5a66,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-108_statanox-12C-anox-44-000_4_Rg70to1050-CE102040-81-S1_Run366.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-108_statanox-12C-anox-44-000_4_Rg70to1050-CE102040-81-S1_Run366.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-09T08:20:48Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-108_statanox-12C-anox-44-000_4_Rg70to1050-CE102040-81-S1_Run366.mzML&forceDownload=true
nmdc:bsm-11-302b5a66,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-111_statanox-12C-anox-44-000_5_Rg70to1050-CE102040-84-S1_Run392.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-111_statanox-12C-anox-44-000_5_Rg70to1050-CE102040-84-S1_Run392.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-09T19:17:20Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-111_statanox-12C-anox-44-000_5_Rg70to1050-CE102040-84-S1_Run392.mzML&forceDownload=true
nmdc:bsm-11-jyswqd53,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-173_flux4day-12C-oxic-44-000_3_Rg70to1050-CE102040-111-S1_Run323.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-173_flux4day-12C-oxic-44-000_3_Rg70to1050-CE102040-111-S1_Run323.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-08T16:32:04Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-173_flux4day-12C-oxic-44-000_3_Rg70to1050-CE102040-111-S1_Run323.mzML&forceDownload=true
nmdc:bsm-11-jyswqd53,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-169_flux4day-12C-oxic-44-000_1_Rg70to1050-CE102040-107-S1_Run120.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-169_flux4day-12C-oxic-44-000_1_Rg70to1050-CE102040-107-S1_Run120.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-05T13:55:23Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-169_flux4day-12C-oxic-44-000_1_Rg70to1050-CE102040-107-S1_Run120.mzML&forceDownload=true
nmdc:bsm-11-jyswqd53,['nmdc:sty-11-076c9980'],/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/raw/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-171_flux4day-12C-oxic-44-000_2_Rg70to1050-CE102040-109-S1_Run220.mzML,/Volumes/LaCie/nmdc_data/pettridge_11_076c9980/processed_20251103/20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-171_flux4day-12C-oxic-44-000_2_Rg70to1050-CE102040-109-S1_Run220.corems,"N/A, should be overwritten","N/A, should be overwritten",Q Exactive Orbitrap,NDMC,JGI,2019-01-07T02:40:26Z,Exactive Series slot #913,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093271%2F%2Fraw%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163%2Frawdata%2F20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-171_flux4day-12C-oxic-44-000_2_Rg70to1050-CE102040-109-S1_Run220.mzML&forceDownload=true
