Id	Dataset	Experiment	Campaign	State	Instrument	Created	Comment	Rating	Dataset Type	Operator	Dataset Folder Path	QC Link	Acq Start	Acq End	Acq Length	Scan Count	File Size (MB)	Cart Config	LC Column	Separation Type	Request	Batch	Usage	Proposal	Work Package	Requester	Organism	Tissue	Svc Center Use Type	Svc Center Report State	Date Sort Key
1146151	GCMS_Blank_01_GCMS03_2023Apr24	GCMS_Blank	Instrument Development	Complete	Agilent_GC_MS_03	4/24/2023 4:35 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\GCMS_Blank_01_GCMS03_2023Apr24	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/GCMS_Blank_01_GCMS03_2023Apr24/QC/	4/24/2023 3:50 PM	4/24/2023 4:27 PM	37.47	5017	0.57	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1221181	9920	USER_ONSITE	60009	NK3724	PAUR784	None		0	0	4/24/2023 3:50 PM
1146155	GCMS_Blank_02_GCMS03_2023Apr24	GCMS_Blank	Instrument Development	Complete	Agilent_GC_MS_03	4/24/2023 5:19 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\GCMS_Blank_02_GCMS03_2023Apr24	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/GCMS_Blank_02_GCMS03_2023Apr24/QC/	4/24/2023 4:35 PM	4/24/2023 5:12 PM	37.47	5017	0.42	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1221182	9920	USER_ONSITE	60009	NK3724	PAUR784	None		0	0	4/24/2023 4:35 PM
1146159	GCMS_FAMEs_01_GCMS03_2023Apr24	GCMS_FAMES_22_01	Instrument Development	Complete	Agilent_GC_MS_03	4/24/2023 6:05 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\GCMS_FAMEs_01_GCMS03_2023Apr24	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/GCMS_FAMEs_01_GCMS03_2023Apr24/QC/	4/24/2023 5:21 PM	4/24/2023 5:58 PM	37.47	5017	0.62	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1221173	9920	USER_ONSITE	60009	NK3724	PAUR784	None		0	0	4/24/2023 5:21 PM
1146161	GCMS_Blank_03_GCMS03_2023Apr24	GCMS_Blank	Instrument Development	Complete	Agilent_GC_MS_03	4/24/2023 6:52 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\GCMS_Blank_03_GCMS03_2023Apr24	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/GCMS_Blank_03_GCMS03_2023Apr24/QC/	4/24/2023 6:06 PM	4/24/2023 6:43 PM	37.47	5017	0.40	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1221183	9920	USER_ONSITE	60009	NK3724	PAUR784	None		0	0	4/24/2023 6:06 PM
1146166	EMSL_17_NIWO_A_PRE_NotGr_NA_NA	EMSL_17_NIWO_A_PRE_NotGr_NA_NA	EUP_60009_Miesel	Complete	Agilent_GC_MS_03	4/24/2023 7:36 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\EMSL_17_NIWO_A_PRE_NotGr_NA_NA	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/EMSL_17_NIWO_A_PRE_NotGr_NA_NA/QC/	4/24/2023 6:52 PM	4/24/2023 7:29 PM	37.47	5017	5.89	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1220662	9920	USER_REMOTE	60009	NK3724	WINK808	Microbial_Communities	soil	0	0	4/24/2023 6:52 PM
1146169	EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33	EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33	EUP_60009_Miesel	Complete	Agilent_GC_MS_03	4/24/2023 8:23 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33/QC/	4/24/2023 7:37 PM	4/24/2023 8:14 PM	37.47	5017	4.10	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1220646	9920	USER_REMOTE	60009	NK3724	WINK808	Microbial_Communities	soil	0	0	4/24/2023 7:37 PM
1146173	EMSL_4_BONA_Oea_PRE_NotGr_NA_NA	EMSL_4_BONA_Oea_PRE_NotGr_NA_NA	EUP_60009_Miesel	Complete	Agilent_GC_MS_03	4/24/2023 9:07 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\EMSL_4_BONA_Oea_PRE_NotGr_NA_NA	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/EMSL_4_BONA_Oea_PRE_NotGr_NA_NA/QC/	4/24/2023 8:22 PM	4/24/2023 8:59 PM	37.47	5017	6.91	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1220671	9920	USER_REMOTE	60009	NK3724	WINK808	Microbial_Communities	soil	0	0	4/24/2023 8:22 PM
1146177	EMSL_18_OSBS_A_PRE_NotGr_NA_NA	EMSL_18_OSBS_A_PRE_NotGr_NA_NA	EUP_60009_Miesel	Complete	Agilent_GC_MS_03	4/24/2023 9:53 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\EMSL_18_OSBS_A_PRE_NotGr_NA_NA	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/EMSL_18_OSBS_A_PRE_NotGr_NA_NA/QC/	4/24/2023 9:08 PM	4/24/2023 9:45 PM	37.47	5017	4.49	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1220608	9920	USER_REMOTE	60009	NK3724	WINK808	Microbial_Communities	soil	0	0	4/24/2023 9:08 PM
1146179	EMSL_25_TREE_A1_PRE_NotGr_NA_NA	EMSL_25_TREE_A1_PRE_NotGr_NA_NA	EUP_60009_Miesel	Complete	Agilent_GC_MS_03	4/24/2023 10:38 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\EMSL_25_TREE_A1_PRE_NotGr_NA_NA	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/EMSL_25_TREE_A1_PRE_NotGr_NA_NA/QC/	4/24/2023 9:53 PM	4/24/2023 10:30 PM	37.47	5017	4.51	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1220644	9920	USER_REMOTE	60009	NK3724	WINK808	Microbial_Communities	soil	0	0	4/24/2023 9:53 PM
1146181	EMSL_21_SJER_A_PRE_NotGr_NA_NA	EMSL_21_SJER_A_PRE_NotGr_NA_NA	EUP_60009_Miesel	Complete	Agilent_GC_MS_03	4/24/2023 11:23 PM		Released	GC-MS	PAUR784	\\proto-4\Agilent_GC_MS_03\2023_2\EMSL_21_SJER_A_PRE_NotGr_NA_NA	https://Proto-4.pnl.gov/Agilent_GC_MS_03/2023_2/EMSL_21_SJER_A_PRE_NotGr_NA_NA/QC/	4/24/2023 10:38 PM	4/24/2023 11:15 PM	37.47	5017	3.08	Unknown_Cart_Config	No_Column	GC-Agilent-Fiehn	1220602	9920	USER_REMOTE	60009	NK3724	WINK808	Microbial_Communities	soil	0	0	4/24/2023 10:38 PM
