description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144905'],nmdc:bsm-11-m2vzm712,['biosample:SAMN06264895'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES046 metaT",GEODES046 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144914'],nmdc:bsm-11-egkt8x24,['biosample:SAMN06265116'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES062 metaT",GEODES062 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144959'],nmdc:bsm-11-7m6nm602,['biosample:SAMN06265188'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES134 metaT",GEODES134 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144967'],nmdc:bsm-11-kh61sg45,['biosample:SAMN06265125'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES145 metaT",GEODES145 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148852'],nmdc:bsm-11-nmb20g86,['biosample:SAMN07630534'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES160 metaT",GEODES160 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148833'],nmdc:bsm-11-ccgfn155,['biosample:SAMN07630515'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES053 metaT",GEODES053 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0153604'],nmdc:bsm-11-h8s1yn47,['biosample:SAMN08779009'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - SP09_SKY_41",SP09_SKY_41
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0153606'],nmdc:bsm-11-h41g1q44,['biosample:SAMN08779010'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - SP09_SKY_50",SP09_SKY_50
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144913'],nmdc:bsm-11-374kh928,['biosample:SAMN06265074'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES061 metaT",GEODES061 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144917'],nmdc:bsm-11-b3tssc72,['biosample:SAMN06265076'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES066 metaT",GEODES066 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144944'],nmdc:bsm-11-f2pxs644,['biosample:SAMN06265085'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES110 metaT",GEODES110 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144946'],nmdc:bsm-11-qct7w415,['biosample:SAMN06265086'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES113 metaT",GEODES113 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144957'],nmdc:bsm-11-kthh9148,['biosample:SAMN06264888'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES131 metaT",GEODES131 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144960'],nmdc:bsm-11-5tajwg77,['biosample:SAMN06265091'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES135 metaT",GEODES135 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144879'],nmdc:bsm-11-cagqxt86,['biosample:SAMN06269024'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES011 metaT",GEODES011 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144893'],nmdc:bsm-11-kc835820,['biosample:SAMN06264740'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES031 metaT",GEODES031 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144894'],nmdc:bsm-11-7wdrry70,['biosample:SAMN06265109'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES032 metaT",GEODES032 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144895'],nmdc:bsm-11-8smkxv71,['biosample:SAMN06265197'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES033 metaT",GEODES033 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144901'],nmdc:bsm-11-afg62k16,['biosample:SAMN06265113'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES041 metaT",GEODES041 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144904'],nmdc:bsm-11-vb6nnt31,['biosample:SAMN06265115'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES045 metaT",GEODES045 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144969'],nmdc:bsm-11-qzmgm223,['biosample:SAMN06265126'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES147 metaT",GEODES147 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144973'],nmdc:bsm-11-5xrr5q54,['biosample:SAMN06264369'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES153 metaT",GEODES153 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148839'],nmdc:bsm-11-vj1np393,['biosample:SAMN07630521'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES102 metaT",GEODES102 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144953'],nmdc:bsm-11-kh0h4260,['biosample:SAMN06264615'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES126 metaT",GEODES126 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144961'],nmdc:bsm-11-yn5fsd54,['biosample:SAMN06265187'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES137 metaT",GEODES137 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144875'],nmdc:bsm-11-x1e5pc89,['biosample:SAMN06269020'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES002 metaT",GEODES002 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144876'],nmdc:bsm-11-646pxc16,['biosample:SAMN06269021'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES003 metaT",GEODES003 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144883'],nmdc:bsm-11-yt9w9g86,['biosample:SAMN06269028'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES017 metaT",GEODES017 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144885'],nmdc:bsm-11-q18c7459,['biosample:SAMN06269030'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES020 metaT",GEODES020 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144892'],nmdc:bsm-11-xtmbjj36,['biosample:SAMN06269037'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES030 metaT",GEODES030 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144926'],nmdc:bsm-11-p0431834,['biosample:SAMN06264640'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES078 metaT",GEODES078 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144971'],nmdc:bsm-11-0zddn388,['biosample:SAMN06265186'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES150 metaT",GEODES150 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148841'],nmdc:bsm-11-w7eysn72,['biosample:SAMN07630523'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES104 metaT",GEODES104 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148842'],nmdc:bsm-11-j3ggwb68,['biosample:SAMN07630524'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES019 metaT",GEODES019 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148845'],nmdc:bsm-11-nzm5ke10,['biosample:SAMN07630527'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES040 metaT",GEODES040 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148846'],nmdc:bsm-11-gk8c4a60,['biosample:SAMN07630528'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES068 metaT",GEODES068 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148851'],nmdc:bsm-11-ngmk6f33,['biosample:SAMN07630533'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES156 metaT",GEODES156 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148849'],nmdc:bsm-11-3edc4469,['biosample:SAMN07630531'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES124 metaT",GEODES124 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144906'],nmdc:bsm-11-6mxdjv44,['biosample:SAMN06265070'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES047 metaT",GEODES047 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144910'],nmdc:bsm-11-j6jsec05,['biosample:SAMN06264643'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES054 metaT",GEODES054 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144918'],nmdc:bsm-11-yz7sjb10,['biosample:SAMN06264892'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES067 metaT",GEODES067 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144947'],nmdc:bsm-11-b2s8zr44,['biosample:SAMN06264616'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES114 metaT",GEODES114 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144951'],nmdc:bsm-11-9y3wfd64,['biosample:SAMN06265089'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES123 metaT",GEODES123 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144962'],nmdc:bsm-11-mytrs032,['biosample:SAMN06265092'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES138 metaT",GEODES138 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144874'],nmdc:bsm-11-qbm7gk40,['biosample:SAMN06269019'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES001 metaT",GEODES001 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144877'],nmdc:bsm-11-4742zx26,['biosample:SAMN06269022'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES009 metaT",GEODES009 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144888'],nmdc:bsm-11-bwc8ew09,['biosample:SAMN06269033'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES023 metaT",GEODES023 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144890'],nmdc:bsm-11-44ekce26,['biosample:SAMN06269035'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES027 metaT",GEODES027 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144898'],nmdc:bsm-11-6zqebn50,['biosample:SAMN06265111'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES037 metaT",GEODES037 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144900'],nmdc:bsm-11-7h2why86,['biosample:SAMN06264905'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES039 metaT",GEODES039 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144920'],nmdc:bsm-11-yjdfe277,['biosample:SAMN06265117'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES070 metaT",GEODES070 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144927'],nmdc:bsm-11-fvh06v60,['biosample:SAMN06265120'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES079 metaT",GEODES079 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144958'],nmdc:bsm-11-4z1r3c62,['biosample:SAMN06265122'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES133 metaT",GEODES133 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148837'],nmdc:bsm-11-rgvj9736,['biosample:SAMN07630519'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES152 metaT",GEODES152 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148838'],nmdc:bsm-11-xy26cy51,['biosample:SAMN07630520'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES101 metaT",GEODES101 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144909'],nmdc:bsm-11-tqd03w73,['biosample:SAMN06265072'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES051 metaT",GEODES051 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144950'],nmdc:bsm-11-8x3svb95,['biosample:SAMN06265088'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES122 metaT",GEODES122 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144974'],nmdc:bsm-11-qzawtw86,['biosample:SAMN06269038'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES154 metaT",GEODES154 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144878'],nmdc:bsm-11-g67qjj97,['biosample:SAMN06269023'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES010 metaT",GEODES010 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144882'],nmdc:bsm-11-wdk4ky48,['biosample:SAMN06269027'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES016 metaT",GEODES016 metaT
