project_id,dms_dataset_id,dms_dataset_name,project_title,project_type,upload_id,resource_id,resource_name,date_uploaded,is_released,doi,total_file_size,total_file_count,retrieval_link
60880,1230881,QC_SRFAII_23_01_10ppm_r3_Mag_16Feb24_300SA_p01_54_1_15427,Soil mineralogy control on SOC stability in soils,MONet,3045154,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045154/2315181,94531932,24,/pacifica/data/uploads/3045154
60880,1230894,QC_SRFAII_23_01_10ppm_r3_Mag_16Feb24_300SA_p01_54_1_15453,Soil mineralogy control on SOC stability in soils,MONet,3045175,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045175/2315132,94525231,24,/pacifica/data/uploads/3045175
60880,1230913,60880_4_T_1_WEOM_r1_Mag_16Feb24_300SA_p01_32_1_15389,Soil mineralogy control on SOC stability in soils,MONet,3045217,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045217/2315134,94619014,28,/pacifica/data/uploads/3045217
60880,1230914,60880_1_B_1_WEOM_r3_Mag_16Feb24_300SA_p01_18_1_15446,Soil mineralogy control on SOC stability in soils,MONet,3045219,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045219/2315153,94623012,28,/pacifica/data/uploads/3045219
60880,1230916,60880_4_T_3_WEOM_r3_Mag_16Feb24_300SA_p01_34_1_15425,Soil mineralogy control on SOC stability in soils,MONet,3045221,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045221/2315173,94624219,28,/pacifica/data/uploads/3045221
60880,1230917,60880_4_B_2_WEOM_r3_Mag_16Feb24_300SA_p01_36_1_15440,Soil mineralogy control on SOC stability in soils,MONet,3045223,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045223/2315133,94631089,28,/pacifica/data/uploads/3045223
60880,1230918,60880_3_B_3_WEOM_r3_Mag_16Feb24_300SA_p01_31_1_15435,Soil mineralogy control on SOC stability in soils,MONet,3045224,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045224/2315170,94630111,28,/pacifica/data/uploads/3045224
60880,1230919,60880_1_B_1_WEOM_r2_Mag_16Feb24_300SA_p01_18_1_15416,Soil mineralogy control on SOC stability in soils,MONet,3045225,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045225/2315172,94623006,28,/pacifica/data/uploads/3045225
60880,1230922,60880_2_B_1_WEOM_r2_Mag_16Feb24_300SA_p01_23_1_15399,Soil mineralogy control on SOC stability in soils,MONet,3045234,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045234/2315119,94617927,28,/pacifica/data/uploads/3045234
60880,1230923,60880_3_B_2_WEOM_r3_Mag_16Feb24_300SA_p01_30_1_15431,Soil mineralogy control on SOC stability in soils,MONet,3045235,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045235/2315121,94628880,28,/pacifica/data/uploads/3045235
60880,1230924,60880_2_B_1_WEOM_r1_Mag_16Feb24_300SA_p01_23_1_15377,Soil mineralogy control on SOC stability in soils,MONet,3045236,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045236/2315186,94621257,28,/pacifica/data/uploads/3045236
60880,1230926,60880_3_B_2_WEOM_r2_Mag_16Feb24_300SA_p01_30_1_15395,Soil mineralogy control on SOC stability in soils,MONet,3045240,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045240/2315157,94629277,28,/pacifica/data/uploads/3045240
60880,1230927,60880_1_T_3_WEOM_r3_Mag_16Feb24_300SA_p01_17_1_15442,Soil mineralogy control on SOC stability in soils,MONet,3045241,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045241/2315178,94620359,28,/pacifica/data/uploads/3045241
60880,1230928,60880_4_B_2_WEOM_r1_Mag_16Feb24_300SA_p01_36_1_15371,Soil mineralogy control on SOC stability in soils,MONet,3045245,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045245/2315106,94625901,28,/pacifica/data/uploads/3045245
60880,1230929,60880_1_B_2_WEOM_r1_Mag_16Feb24_300SA_p01_19_1_15380,Soil mineralogy control on SOC stability in soils,MONet,3045246,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045246/2315190,94622783,28,/pacifica/data/uploads/3045246
60880,1230931,60880_4_T_1_WEOM_r3_Mag_16Feb24_300SA_p01_32_1_15449,Soil mineralogy control on SOC stability in soils,MONet,3045249,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045249/2315113,94625249,28,/pacifica/data/uploads/3045249
60880,1230932,60880_4_B_1_WEOM_r1_Mag_16Feb24_300SA_p01_35_1_15391,Soil mineralogy control on SOC stability in soils,MONet,3045250,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045250/2315182,94624707,28,/pacifica/data/uploads/3045250
60880,1230933,60880_3_T_2_WEOM_r1_Mag_16Feb24_300SA_p01_27_1_15387,Soil mineralogy control on SOC stability in soils,MONet,3045252,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045252/2315171,94624840,28,/pacifica/data/uploads/3045252
60880,1230935,60880_2_B_1_WEOM_r3_Mag_16Feb24_300SA_p01_23_1_15444,Soil mineralogy control on SOC stability in soils,MONet,3045254,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045254/2315116,94618385,28,/pacifica/data/uploads/3045254
60880,1230937,QC_SRFAII_23_01_10ppm_r1_Mag_16Feb24_300SA_p01_54_1_15383,Soil mineralogy control on SOC stability in soils,MONet,3045256,34332,Mass Spectrometer: 7T FTICR SciMax01 (2021),2024-02-27,True,10.25582/data.2024-02.3045256/2315112,94632765,28,/pacifica/data/uploads/3045256
