ftp_location,raw_data_file_short
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680/rawdata/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_13_S17-D45_A_Rg80to1200-CE102040-soil-InjBL-MeOH_Run46.raw,20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_13_S17-D45_A_Rg80to1200-CE102040-soil-InjBL-MeOH_Run46.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490/rawdata/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_FPS_MS1_15_S17-D45_C_Rg70to1050-CE102040-soil-InjBL-MeOH_Run165.raw,20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_FPS_MS1_15_S17-D45_C_Rg70to1050-CE102040-soil-InjBL-MeOH_Run165.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490/rawdata/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run163.raw,20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run163.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680/rawdata/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run45.raw,20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run45.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680/rawdata/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_14_S17-D45_B_Rg80to1200-CE205060-soil-InjBL-MeOH_Run102.raw,20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_14_S17-D45_B_Rg80to1200-CE205060-soil-InjBL-MeOH_Run102.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680/rawdata/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_14_S17-D45_B_Rg80to1200-CE205060-soil-S1_Run101.raw,20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_14_S17-D45_B_Rg80to1200-CE205060-soil-S1_Run101.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680/rawdata/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run44.raw,20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_13_S17-D45_A_Rg80to1200-CE102040-soil-S1_Run44.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680/rawdata/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_15_S17-D45_C_Rg80to1200-CE102040-soil-InjBL-MeOH_Run169.raw,20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_FPS_MS1_15_S17-D45_C_Rg80to1200-CE102040-soil-InjBL-MeOH_Run169.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490/rawdata/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_14_S17-D45_B_Rg70to1050-CE205060-soil-S1_Run99.raw,20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_14_S17-D45_B_Rg70to1050-CE205060-soil-S1_Run99.raw
ftp://massive-ftp.ucsd.edu/v07/MSV000094090/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490/rawdata/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run164.raw,20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_15_S17-D45_C_Rg70to1050-CE102040-soil-S1_Run164.raw
