sample_id,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,associated_studies
nmdc:procsm-11-xk7t6j25,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_C_7_AB_M_07.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_C_7_AB_M_07.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T06:48:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-0wedgr31,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_11_AB_M_13.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_11_AB_M_13.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T10:22:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-2tecf991,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_11_AB_O_24.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_11_AB_O_24.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T05:23:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-1afb3q50,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_17_AB_M_18.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_17_AB_M_18.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T11:04:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-y1k8jv24,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_17_AB_O_22.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_17_AB_O_22.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T04:40:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-223ezf88,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_26_AB_M_12.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_26_AB_M_12.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T05:29:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-k35qfx25,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_28_AB_M_03.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_28_AB_M_03.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T04:46:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-c4wj5n91,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_2_AB_M_23.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_2_AB_M_23.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T04:03:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-px1pmx11,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_2_AB_O_15.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_2_AB_O_15.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T11:47:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-rxg1tv76,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_32_AB_M_20.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_32_AB_M_20.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T08:56:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-zxn09n66,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_32_AB_O_19.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_32_AB_O_19.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T01:55:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-tjep2e89,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_4_AB_M_05.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_4_AB_M_05.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-16T03:21:00Z,,['nmdc:sty-11-8ws97026']
nmdc:procsm-11-3x22m659,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/Blanch_Nat_Met_H_4_AB_O_06.cdf,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/processed_20251223/Blanch_Nat_Met_H_4_AB_O_06.csv,/Volumes/LaCie/nmdc_data/blanchard_11_8ws97026/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2018-01-15T07:31:00Z,,['nmdc:sty-11-8ws97026']
