sample_id,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,raw_data_url,associated_studies
nmdc:bsm-11-yn5fsd54,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_4_GEO-ME-20-UF_1_Rg70to1050-CE102040-0-7-S1_Run28.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_4_GEO-ME-20-UF_1_Rg70to1050-CE102040-0-7-S1_Run28.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-20T19:28:56Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_4_GEO-ME-20-UF_1_Rg70to1050-CE102040-0-7-S1_Run28.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-afg62k16,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_56_GEO-SP-36-F_1_Rg70to1050-CE102040-0-4-S1_Run205.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_56_GEO-SP-36-F_1_Rg70to1050-CE102040-0-4-S1_Run205.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T13:10:55Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_56_GEO-SP-36-F_1_Rg70to1050-CE102040-0-4-S1_Run205.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-yt9w9g86,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_14_GEO-SP-12-UF_1_Rg70to1050-CE102040-0-4-S1_Run58.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_14_GEO-SP-12-UF_1_Rg70to1050-CE102040-0-4-S1_Run58.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-21T06:37:13Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_14_GEO-SP-12-UF_1_Rg70to1050-CE102040-0-4-S1_Run58.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-re18d216,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_11_GEO-ME-4-UF_1_Rg70to1050-CE102040-0-7-S1_Run49.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_11_GEO-ME-4-UF_1_Rg70to1050-CE102040-0-7-S1_Run49.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-21T03:16:41Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_11_GEO-ME-4-UF_1_Rg70to1050-CE102040-0-7-S1_Run49.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-mac4ny66,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_62_GEO-TB-12-F_1_Rg70to1050-CE102040-0-1-S1_Run228.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_62_GEO-TB-12-F_1_Rg70to1050-CE102040-0-1-S1_Run228.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T21:42:49Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_62_GEO-TB-12-F_1_Rg70to1050-CE102040-0-1-S1_Run228.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-4z1r3c62,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_Mendota_DepthDate_QE-139_HILICZ-VF1_USHXG01161_NEG_MSMS_16_ME-20170908-metabo-16_1_Rg70to1050-CE102040-0p1-S1_Run64.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_Mendota_DepthDate_QE-139_HILICZ-VF1_USHXG01161_NEG_MSMS_16_ME-20170908-metabo-16_1_Rg70to1050-CE102040-0p1-S1_Run64.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-25T10:27:25Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_Mendota_DepthDate_QE-139_HILICZ-VF1_USHXG01161_NEG_MSMS_16_ME-20170908-metabo-16_1_Rg70to1050-CE102040-0p1-S1_Run64.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-yt9w9g86,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_50_GEO-SP-12-F_1_Rg70to1050-CE102040-0-4-S1_Run184.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_50_GEO-SP-12-F_1_Rg70to1050-CE102040-0-4-S1_Run184.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T05:23:03Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_50_GEO-SP-12-F_1_Rg70to1050-CE102040-0-4-S1_Run184.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-j68z9p10,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_29_GEO-TB-24-UF_1_Rg70to1050-CE102040-0-1-S1_Run111.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_29_GEO-TB-24-UF_1_Rg70to1050-CE102040-0-1-S1_Run111.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-22T02:17:37Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_29_GEO-TB-24-UF_1_Rg70to1050-CE102040-0-1-S1_Run111.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-kh61sg45,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_6_GEO-ME-28-UF_1_Rg70to1050-CE102040-0-7-S1_Run34.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_6_GEO-ME-28-UF_1_Rg70to1050-CE102040-0-7-S1_Run34.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-20T21:42:35Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_6_GEO-ME-28-UF_1_Rg70to1050-CE102040-0-7-S1_Run34.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
nmdc:bsm-11-hzzj3m89,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/raw/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_63_GEO-TB-16-F_1_Rg70to1050-CE102040-0-1-S1_Run231.mzML,/Volumes/LaCie/nmdc_data/mcmahon_11_fkbnah04/processed_20260706/20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_63_GEO-TB-16-F_1_Rg70to1050-CE102040-0-1-S1_Run231.corems,"JGI/LBNL Standard Metabolomics Method, negative @10,20,40CE",JGI/LBNL Metabolomics Standard LC Method - Polar HILIC-Z,Thermo Orbitrap Q-Exactive,NMDC,JGI,2018-09-23T22:49:41Z,Exactive Series slot #2405,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000093272%2F%2Fraw%2F20180918_KBL_TM_HILICZ_Lakes_Geodes-Mendota%2Frawdata%2F20180918_KBL_TM_Lakes_GEODES_All3_QE-HF_HILICZ-VF1_USHXG01161_NEG_MSMS_63_GEO-TB-16-F_1_Rg70to1050-CE102040-0-1-S1_Run231.mzML&forceDownload=true,['nmdc:sty-11-fkbnah04']
