file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,analyzer,ionization_type,experiment_type,polarity,mz_min,mz_max,rt_min,rt_max,tic_min,tic_max,write_time,total_scans,creation_time
GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr24.cdf,1811176,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,503.0,6.099833333333334,37.476816666666664,238.0,1506786.0,2023-04-24T05:21:00,5017,2023-04-25T01:06:40.510000
EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_88_TREE_A1_POST_NotGr_MSTplus5_33.cdf,12782908,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.7000122070312,6.099683333333333,37.47665,24218.0,83986768.0,2023-04-24T07:37:00,5017,2023-04-25T03:24:38.020000
EMSL_17_NIWO_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_17_NIWO_A_PRE_NotGr_NA_NA.cdf,18417640,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7000122070312,6.099866666666667,37.47683333333334,29441.0,89204896.0,2023-04-24T06:52:00,5017,2023-04-25T02:39:43.960000
EMSL_18_OSBS_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_18_OSBS_A_PRE_NotGr_NA_NA.cdf,13997548,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.4000244140625,6.09965,37.47661666666667,44977.0,89563248.0,2023-04-24T09:08:00,5017,2023-04-25T04:55:48.330000
EMSL_4_BONA_Oea_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_4_BONA_Oea_PRE_NotGr_NA_NA.cdf,21607180,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.0994,37.476366666666664,73458.0,99812736.0,2023-04-24T08:22:00,5017,2023-04-25T04:08:38.680000
EMSL_25_TREE_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_25_TREE_A1_PRE_NotGr_NA_NA.cdf,14053972,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5,6.0997,37.47666666666667,36470.0,88058424.0,2023-04-24T09:53:00,5017,2023-04-25T05:41:01.090000
EMSL_21_SJER_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_21_SJER_A_PRE_NotGr_NA_NA.cdf,9569296,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.4000244140625,6.099683333333333,37.47665,26913.0,82841744.0,2023-04-24T10:38:00,5017,2023-04-25T06:24:41.130000
EMSL_77_MLBS_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_77_MLBS_A_POST_NotGr_MSTplus5_33.cdf,20896780,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.9000244140625,6.099683333333333,37.47665,71745.0,95853504.0,2023-04-24T11:24:00,5017,2023-04-25T07:11:51.890000
EMSL_53_NIWO_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_53_NIWO_A_POST_NotGr_MST_33.cdf,15218632,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.4000244140625,6.099533333333333,37.47651666666666,40998.0,91219448.0,2023-04-25T12:09:00,5017,2023-04-25T07:57:11.990000
EMSL_15_MOAB_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_15_MOAB_A_PRE_NotGr_NA_NA.cdf,6685276,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.9000244140625,6.099716666666667,37.476683333333334,21338.0,86530712.0,2023-04-25T01:39:00,5017,2023-04-25T09:26:02.720000
EMSL_60_TALL_A1_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_60_TALL_A1_POST_NotGr_MST_33.cdf,13861468,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.099583333333333,37.476549999999996,38722.0,87981008.0,2023-04-25T03:10:00,5017,2023-04-25T10:58:12.010000
EMSL_27_WREF_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_27_WREF_A1_PRE_NotGr_NA_NA.cdf,18434308,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,600.0,6.099766666666667,37.47673333333333,48330.0,95769600.0,2023-04-25T02:25:00,5017,2023-04-25T10:12:08.060000
EMSL_43_DCFS_A1_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_43_DCFS_A1_POST_NotGr_MST_33.cdf,14749168,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.7000122070312,6.099533333333333,37.47651666666666,35264.0,92309936.0,2023-04-25T12:54:00,5017,2023-04-25T08:42:05.470000
EMSL_89_UNDE_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_89_UNDE_A_POST_NotGr_MSTplus5_33.cdf,18876724,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5999755859375,6.09965,37.47663333333333,60772.0,88767416.0,2023-04-25T03:55:00,5017,2023-04-25T11:42:22.550000
EMSL_57_SJER_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_57_SJER_A_POST_NotGr_MST_33.cdf,4869268,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.2000122070312,6.099716666666667,37.4767,13652.0,66244752.0,2023-04-25T06:11:00,5017,2023-04-25T13:57:38.370000
EMSL_54_OSBS_A_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_54_OSBS_A_POST_NotGr_MST_33.cdf,5368972,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.2000122070312,6.099316666666667,37.476283333333335,17747.0,56296972.0,2023-04-25T05:25:00,5017,2023-04-25T13:11:34.790000
EMSL_70_DCFS_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_70_DCFS_A1_POST_NotGr_MSTplus5_33.cdf,11234632,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5,6.099783333333334,37.47676666666667,37669.0,87991888.0,2023-04-25T04:40:00,5017,2023-04-25T12:27:06.090000
EMSL_67_BONA_Oea_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_67_BONA_Oea_POST_NotGr_MSTplus5_33.cdf,12789580,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.5,6.099666666666667,37.47665,25738.0,88927792.0,2023-04-25T06:56:00,5017,2023-04-25T14:44:40.040000
EMSL_85_SOAP_A_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_85_SOAP_A_POST_NotGr_MSTplus5_33.cdf,10106788,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.099633333333333,37.47661666666667,33803.0,87652080.0,2023-04-25T09:12:00,5017,2023-04-25T16:59:07.640000
EMSL_68_CLBJ_A1_POST_NotGr_MSTplus5_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_68_CLBJ_A1_POST_NotGr_MSTplus5_33.cdf,13707004,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.0998,37.47676666666667,40023.0,87763616.0,2023-04-25T08:27:00,5017,2023-04-25T16:14:38.640000
EMSL_9_DSNY_A_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_9_DSNY_A_PRE_NotGr_NA_NA.cdf,14115532,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,599.9000244140625,6.09945,37.476416666666665,32639.0,89897080.0,2023-04-25T07:41:00,5017,2023-04-25T15:29:41.250000
EMSL_49_KONZ_A1_POST_NotGr_MST_33.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_49_KONZ_A1_POST_NotGr_MST_33.cdf,10615540,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5999755859375,6.099683333333333,37.47665,32196.0,87173576.0,2023-04-25T09:57:00,5017,2023-04-25T17:43:39.180000
GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,2858056,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,49.900001525878906,504.1000061035156,6.099866666666667,37.47683333333334,5590.0,2376600.0,2023-04-25T02:31:00,5017,2023-04-25T22:17:39.980000
EMSL_13_KONZ_A1_PRE_NotGr_NA_NA.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_13_KONZ_A1_PRE_NotGr_NA_NA.cdf,5028988,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,599.5,6.0998,37.47676666666667,11871.0,85464712.0,2023-04-25T04:01:00,5017,2023-04-25T23:49:03.740000
GCMS_FAMEs_02_GCMS03_2023Apr24.cdf,/mnt/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_02_GCMS03_2023Apr24.cdf,2987008,.cdf,Unknown,Gas Chromatograph (Operator: VP),Unknown,Quadruple,Electron Impact,Centroided Mass Spectrum,1,50.0,518.0999755859375,6.09985,37.47683333333334,6851.0,1039136.0,2023-04-25T12:13:00,5017,2023-04-25T19:59:36.290000
