raw_data_identifier,biosample_id,biosample_name,material_processing_protocol_id,match_confidence,processedsample_placeholder
Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9009,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9113,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_01_ABBY_A_PRE_Met_SPE_r1_300SA_IATp03_9286,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_01_ABBY_A_PRE_Met_SPE_r2_300SA_IATp03_9559,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9049,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9119,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r1_300SA_IATp03_9274,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r2_300SA_IATp03_9608,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9027,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9092,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r1_300SA_IATp03_9247,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r2_300SA_IATp03_9556,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9004,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9103,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_04_BONA_Oea_PRE_Met_SPE_r1_300SA_IATp03_9250,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_04_BONA_Oea_PRE_Met_SPE_r2_300SA_IATp03_9596,nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_05_CLBJ_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9013,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_05_CLBJ_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9150,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_05_CLBJ_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9238,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_05_CLBJ_A1_PRE_Met_SPE_r2_300SA_IATp03_9621,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_06_CPER_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9025,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_06_CPER_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9120,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_06_CPER_A1_PRE_Met_SPE_r1_300SA_IATp03_9249,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_06_CPER_A1_PRE_Met_SPE_r2_300SA_IATp03_9555,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_07_DCFS_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8987,nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_07_DCFS_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9121,nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_07_DCFS_A1_PRE_Met_SPE_r1_300SA_IATp03_9255,nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_07_DCFS_A1_PRE_Met_SPE_r2_300SA_IATp03_9588,nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_08_DELA_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9016,nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_08_DELA_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9087,nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_08_DELA_A_PRE_Met_SPE_r1_300SA_IATp03_9246,nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_08_DELA_A_PRE_Met_SPE_r2_300SA_IATp03_9580,nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_09_DSNY_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9006,nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_09_DSNY_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9100,nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
Miesel_60009_09_DSNY_A_PRE_Met_SPE_r1_300SA_IATp03_9248,nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_09_DSNY_A_PRE_Met_SPE_r2_300SA_IATp03_9625,nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample7_NOM
Miesel_60009_10_GRSM_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9050,nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,ALL,high,ProcessedSample6_NOM
