raw_data_file_short,file_path,is_calibration,calibration_file
60920_1_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_1_1_14042.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_1_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_1_1_14042.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14030.d
60920_1_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_1_1_14114.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_1_T_3_WEOM_r2_Mag_21Dec23_300SA_p01_1_1_14114.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_1_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_1_1_14190.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_1_T_3_WEOM_r3_Mag_21Dec23_300SA_p01_1_1_14190.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14186.d
60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_13992.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r0_Mag_21Dec23_300SA_p01_54_1_13983.d
60920_10_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14069.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r2_Mag_21Dec23_300SA_p01_18_1_14069.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14052.d
60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_1_WEOM_r3_Mag_21Dec23_300SA_p01_18_1_14153.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14142.d
60920_10_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_37_1_14017.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r1_Mag_21Dec23_300SA_p01_37_1_14017.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14008.d
60920_10_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_37_1_14099.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r2_Mag_21Dec23_300SA_p01_37_1_14099.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r2_Mag_21Dec23_300SA_p01_54_1_14097.d
60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_2_WEOM_r3_Mag_21Dec23_300SA_p01_37_1_14175.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r3_Mag_21Dec23_300SA_p01_54_1_14164.d
60920_10_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_14041.d,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/60920_10_T_3_WEOM_r1_Mag_21Dec23_300SA_p01_18_1_14041.d,False,/home/bmeluch/NMDC/nom_processing/monet_nom_batch_1/raw/QC_SRFAII_23_01_20ppm_r1_Mag_21Dec23_300SA_p01_54_1_14030.d
