nmdc_id,raw_file_name
nmdc:omprc-11-0003fm52,1000S_WLUP_FTMS_SPE_BTM_1_run2_Fir_22Apr22_300SA_p01_149_1_3506.zip
nmdc:omprc-11-01zh1n05,1000S_PPRH_FTMS_SPE_BTM_3_run1_Fir_25Apr22_300SA_p01_1_1_3516.zip
nmdc:omprc-11-07szrp41,1000s_GRSM_FTMS_SPE_TOP_2_25Oct22_Mag_300SA_p025_61_1_6974.zip
nmdc:omprc-11-0993xp93,1000S_CFS2_FTMS_SPE_BTM_1_run1_Fir_22Apr22_300SA_p01_11_1_3368.zip
nmdc:omprc-11-0as1cf06,1000s_SJER_FTMS_SPE_BTM_2_31Oct22_Mag_300SA_p025_168_1_7181.zip
nmdc:omprc-11-0ey6g219,1000s_WY10_FTMS_SPE_BTM_1_01Nov22_Mag_300SA_p025_190_1_7203.zip
nmdc:omprc-11-0jdccs21,1000S_WLUP_FTMS_SPE_BTM_3_run1_Fir_25Apr22_300SA_p01_1_1_3525.zip
nmdc:omprc-11-0nt9hh20,1000S_WSU1_RR_FTMS_SPE_TOP_2_run1_Fir_26Apr22_300SA_p01_1_1_3573.zip
nmdc:omprc-11-0pp2gt19,1000s_DCFS_FTMS_SPE_BTM_3_29Oct22_Mag_300SA_p025_172_1_7122.zip
nmdc:omprc-11-0s94gk27,1000S_NWBB_FTMS_SPE_TOP_1_run2_Fir_22Apr22_300SA_p01_77_1_3434.zip
nmdc:omprc-11-0sf9k571,1000s_WY15_FTMS_SPE_TOP_1_02Nov22_Mag_300SA_p025_133_1_7248.zip
nmdc:omprc-11-0y13j017,1000s_WY10_FTMS_SPE_BTM_3_02Nov22_Mag_300SA_p025_132_1_7247.zip
nmdc:omprc-11-13vghg49,1000S_WSU2_RR_FTMS_SPE_BTM_2_run1_Fir_26Apr22_300SA_p01_1_1_3575.zip
nmdc:omprc-11-182mbn74,1000s_GRSM_FTMS_SPE_BTM_1_29Oct22_Mag_300SA_p025_151_1_7101.zip
nmdc:omprc-11-18bdnn55,1000S_OCTB_FTMS_SPE_BTM_1_run2_Fir_26Apr22_300SA_p01_1_1_3591.zip
nmdc:omprc-11-1afwh095,1000S_FTA3_RR_FTMS_SPE_TOP_2_run2_Fir_22Apr22_300SA_p01_64_1_3421.zip
nmdc:omprc-11-1aht7y39,1000S_FTA3_RR_FTMS_SPE_BTM_1_run1_Fir_22Apr22_300SA_p01_40_1_3397.zip
nmdc:omprc-11-1h744e72,1000S_PRS1_FTMS_SPE_BTM_3_run2_Fir_22Apr22_300SA_p01_94_1_3451.zip
nmdc:omprc-11-1h823q34,1000S_CFS1_FTMS_SPE_BTM_3_run1_Fir_25Apr22_300SA_p01_1_1_3515.zip
