file_name,file_path,file_size_bytes,file_extension,error,creation_time,write_time,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,ms2_types,polarity,mz_min,mz_max,rt_min,rt_max,total_scans
Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9009.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9009.d,4096,.d,,2026-05-08T23:25:36.497993,2023-01-26T22:04:03-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0098,9.0098,1.0
Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9113.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_01_ABBY_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9113.d,4096,.d,,2026-05-08T23:25:36.529993,2023-01-28T12:25:20-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0091,9.0091,1.0
Miesel_60009_01_ABBY_A_PRE_Met_SPE_r1_300SA_IATp03_9286.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_01_ABBY_A_PRE_Met_SPE_r1_300SA_IATp03_9286.d,4096,.d,,2026-05-08T23:25:36.581994,2023-01-31T03:59:00-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0093,9.0093,1.0
Miesel_60009_01_ABBY_A_PRE_Met_SPE_r2_300SA_IATp03_9559.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_01_ABBY_A_PRE_Met_SPE_r2_300SA_IATp03_9559.d,4096,.d,,2026-05-08T23:25:36.625994,2023-02-11T21:57:39-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41519730292927,1100.0949327766375,9.0071,9.0071,1.0
Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9049.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9049.d,4096,.d,,2026-05-08T23:25:36.669994,2023-01-27T12:42:44-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0092,9.0092,1.0
Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9119.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_02_BARR_Oaf_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9119.d,4096,.d,,2026-05-08T23:25:36.709995,2023-01-28T14:37:08-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0097,9.0097,1.0
Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r1_300SA_IATp03_9274.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r1_300SA_IATp03_9274.d,4096,.d,,2026-05-08T23:25:36.749995,2023-01-30T23:35:24-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.009,9.009,1.0
Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r2_300SA_IATp03_9608.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_02_BARR_Oaf_PRE_Met_SPE_r2_300SA_IATp03_9608.d,4096,.d,,2026-05-08T23:25:36.793995,2023-02-12T14:40:31-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41519730292927,1100.0949327766375,9.0085,9.0085,1.0
Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9027.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9027.d,4096,.d,,2026-05-08T23:25:36.837996,2023-01-27T04:39:28-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0098,9.0098,1.0
Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9092.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_03_BLAN_Ap1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9092.d,4096,.d,,2026-05-08T23:25:36.865996,2023-01-28T04:44:02-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0092,9.0092,1.0
Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r1_300SA_IATp03_9247.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r1_300SA_IATp03_9247.d,4096,.d,,2026-05-08T23:25:36.909996,2023-01-30T13:42:18-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0089,9.0089,1.0
Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r2_300SA_IATp03_9556.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_03_BLAN_Ap1_PRE_Met_SPE_r2_300SA_IATp03_9556.d,4096,.d,,2026-05-08T23:25:36.949997,2023-02-11T20:56:15-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41519730292927,1100.0949327766375,9.0088,9.0088,1.0
Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9004.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9004.d,4096,.d,,2026-05-08T23:25:36.981997,2023-01-26T20:14:14-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0087,9.0087,1.0
Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9103.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_04_BONA_Oea_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9103.d,4096,.d,,2026-05-08T23:25:37.029997,2023-01-28T08:45:40-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0091,9.0091,1.0
Miesel_60009_04_BONA_Oea_PRE_Met_SPE_r1_300SA_IATp03_9250.d,/mnt/home/bmeluch/NMDC/nom_processing/miesel_11_8bjf2432/raw/Miesel_60009_04_BONA_Oea_PRE_Met_SPE_r1_300SA_IATp03_9250.d,4096,.d,,2026-05-08T23:25:37.069998,2023-01-30T14:48:12-08:00,placeholder,placeholder,placeholder,profile,1.0,,,positive,147.41518502797905,1100.0948300354842,9.0095,9.0095,1.0
