file_name,file_path,file_size_bytes,file_extension,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,polarity,mz_min,mz_max,rt_min,rt_max,write_time,total_scans,creation_time
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_16_S32-D45_A_Rg70to1050-CE102040-soil-S1_Run29.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_16_S32-D45_A_Rg70to1050-CE102040-soil-S1_Run29.raw,96068744,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],137.6667,945.0,0.0069904354,21.001148,2021-08-20 01:00:13.881992,7663,2025-10-27T21:12:30.610000
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_27_S32-D89_C_Rg80to1200-CE102040-soil-S1_Run171.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_27_S32-D89_C_Rg80to1200-CE102040-soil-S1_Run171.raw,66597332,.raw,Q Exactive HF Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],106.0,995.0,0.0079723252,11.501289,2021-09-17 18:10:12.079448,5935,2025-10-27T20:33:00.350000
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_13_S17-D45_A_Rg70to1050-CE102040-soil-S1_Run44.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_13_S17-D45_A_Rg70to1050-CE102040-soil-S1_Run44.raw,96123554,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],126.3333,95.0,0.0070363508,21.003271,2021-08-20 06:36:26.987504,7664,2025-10-27T21:13:37.120000
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_39_S29-D45_C_Rg70to1050-CE102040-soil-S1_Run176.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_39_S29-D45_C_Rg70to1050-CE102040-soil-S1_Run176.raw,96450384,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],126.3333,945.0,0.0070266829,21.000095,2021-08-22 07:48:37.048920,7649,2025-10-27T20:50:43.240000
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_43_S53-D45_A_Rg80to1200-CE102040-soil-S1_Run23.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_43_S53-D45_A_Rg80to1200-CE102040-soil-S1_Run23.raw,87846272,.raw,Q Exactive HF Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],102.6667,980.0,0.0037947429,11.501661,2021-09-15 17:06:54.646032,6284,2025-10-27T21:05:34.190000
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_14_S17-D45_B_Rg80to1200-CE205060-soil-S1_Run101.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_14_S17-D45_B_Rg80to1200-CE205060-soil-S1_Run101.raw,65980364,.raw,Q Exactive HF Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['43'],['negative'],108.0,995.0,0.0079197897,11.502762,2021-09-16 09:36:12.702992,5911,2025-10-27T21:08:03.130000
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_17_S32-D45_B_Rg80to1200-CE205060-soil-S1_Run111.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_17_S32-D45_B_Rg80to1200-CE205060-soil-S1_Run111.raw,87794952,.raw,Q Exactive HF Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['43'],['positive'],105.0,995.0,0.0037975563,11.501835,2021-09-16 11:42:50.701976,6280,2025-10-27T20:55:48.370000
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_41_S40-D45_B_Rg80to1200-CE205060-soil-S1_Run142.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_41_S40-D45_B_Rg80to1200-CE205060-soil-S1_Run142.raw,64522566,.raw,Q Exactive HF Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['43'],['negative'],103.0,995.0,0.0079295887,11.503332,2021-09-17 12:02:20.695736,6010,2025-10-27T21:16:35
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_17_S32-D45_B_Rg80to1200-CE205060-soil-S1_Run112.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_17_S32-D45_B_Rg80to1200-CE205060-soil-S1_Run112.raw,67559324,.raw,Q Exactive HF Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['43'],['negative'],101.6667,995.0,0.0079204771,11.502182,2021-09-16 11:55:32.701840,5975,2025-10-27T21:18:00.050000
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_43_S53-D45_A_Rg70to1050-CE102040-soil-S1_Run23.raw,/mnt/Volumes/LaCie/nmdc_data/kroeger_11_dwsv7q78/raw/20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_43_S53-D45_A_Rg70to1050-CE102040-soil-S1_Run23.raw,95983828,.raw,Q Exactive Orbitrap,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],137.6667,95.0,0.0070082969,21.002187,2021-08-19 22:45:44.898776,7645,2025-10-27T20:50:34.890000
