file_name,file_path,instrument_model,instrument_name,instrument_serial_number,scan_types,scan_levels,collision_energies,polarity,mz_min,mz_max,rt_min,rt_max,write_time
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-rhizo-S1_Run701.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-rhizo-S1_Run701.mzML,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['positive'],51.0,1245.0,0.0010409221285954118,11.501090049743652,2022-02-24 00:53:15
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_83RZM_BESC-905-Clat-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run435.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_83RZM_BESC-905-Clat-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run435.mzML,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['positive'],51.0,1844.0,0.0010472056455910206,11.505509376525879,2022-02-19 21:03:15
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_60RZM_BESC-845-Clat-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run414.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_60RZM_BESC-845-Clat-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run414.mzML,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['positive'],51.0,1811.0,0.001040974399074912,11.500380516052246,2022-02-19 16:40:20
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_34RZM_BESC-351-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run570.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_34RZM_BESC-351-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run570.mzML,Q Exactive,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],50.0,1050.0,0.007602181751281023,21.003137588500977,2022-01-30 21:59:54
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_70RZM_BESC-847-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run476.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_70RZM_BESC-847-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run476.mzML,Q Exactive,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['negative'],50.0,1050.0,0.0074438839219510555,21.000993728637695,2022-01-29 11:07:12
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_109RZM_SKWD-24-1-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run631.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_109RZM_SKWD-24-1-Corv-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run631.mzML,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['50'],['negative'],51.0,1732.0,0.009431804530322552,11.502483367919922,2022-02-22 03:24:51
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_76RZM_BESC-866-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run495.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_76RZM_BESC-866-Corv-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run495.mzML,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['negative'],51.0,1732.0,0.009426542557775974,11.505478858947754,2022-02-20 09:36:31
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_57RZM_BESC-833-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run421.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_57RZM_BESC-833-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run421.mzML,Orbitrap ID-X,Unknown,FSN30184,['centroid'],"[1, 2]",['20'],['negative'],51.0,1871.0,0.009465101175010204,11.504644393920898,2022-02-19 18:07:58
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_64RZM_BESC-845-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run502.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_64RZM_BESC-845-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run502.mzML,Q Exactive,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],50.0,1085.0,0.004592663608491421,21.001649856567383,2022-01-29 20:45:59
20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_22RZM_BESC-285-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run441.mzML,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_massive/_bioscales_lcms/to_process/20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_22RZM_BESC-285-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run441.mzML,Q Exactive,Unknown,Exactive Series slot #1,['centroid'],"[1, 2]",['23'],['positive'],50.0,1700.0,0.004584283102303743,21.00001335144043,2022-01-27 11:15:07
