biosample_id,raw_data_identifier,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-19v98823,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_80LM_BESC-904-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run78.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-19v98823,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_80LM_BESC-904-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run77.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-19v98823,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_80LM_BESC-904-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run77.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-19v98823,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_80LM_BESC-904-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run76.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-28kgw077,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_83LM_BESC-905-Clat-LM_1_Rg80to1200-CE102040-leaf-S1_Run39.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-28kgw077,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_83LM_BESC-905-Clat-LM_1_Rg80to1200-CE102040-leaf-S1_Run38.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-28kgw077,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_83LM_BESC-905-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run38.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-28kgw077,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_83LM_BESC-905-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run37.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-34przm31,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_70LM_BESC-847-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run131.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-34przm31,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_70LM_BESC-847-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run130.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-34przm31,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_70LM_BESC-847-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run129.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-34przm31,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_70LM_BESC-847-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run128.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-3tr7f795,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_47LM_BESC-388-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run143.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-3tr7f795,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_47LM_BESC-388-Corv-LM_2_Rg80to1200-CE102040-leaf-S1_Run142.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-3tr7f795,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_47LM_BESC-388-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run141.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-3tr7f795,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_47LM_BESC-388-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run140.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-5j742c82,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_106LM_SKWD-24-1-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run184.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-5j742c82,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_106LM_SKWD-24-1-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run183.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-5j742c82,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_106LM_SKWD-24-1-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run181.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-5j742c82,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_106LM_SKWD-24-1-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run180.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-61xfks69,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_67LM_BESC-847-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run155.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-61xfks69,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_67LM_BESC-847-Clat-LM_2_Rg80to1200-CE102040-leaf-S1_Run154.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-61xfks69,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_67LM_BESC-847-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run153.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-61xfks69,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_67LM_BESC-847-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run152.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-674m9194,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_92LM_GW-4579-Corv-LM_3_Rg80to1200-CE205060-leaf-S1_Run314.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-674m9194,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_92LM_GW-4579-Corv-LM_3_Rg80to1200-CE205060-leaf-S1_Run313.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-674m9194,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_92LM_GW-4579-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run309.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-674m9194,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_92LM_GW-4579-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run308.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-678ndj04,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_35LM_BESC-351-Clat-LM_3_Rg80to1200-CE205060-leaf-S1_Run246.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-678ndj04,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_POS_MSMS_35LM_BESC-351-Clat-LM_3_Rg80to1200-CE205060-leaf-S1_Run245.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-678ndj04,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_35LM_BESC-351-Clat-LM_3_Rg70to1050-CE205060-leaf-S1_Run242.mzML,ProcessedSample3_leaf,leaf
nmdc:bsm-11-678ndj04,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_POS_MSMS_35LM_BESC-351-Clat-LM_3_Rg70to1050-CE205060-leaf-S1_Run241.mzML,ProcessedSample3_leaf,leaf
