nmdc_id,raw_file_name
nmdc:omprc-11-04zpwc68,SanClements_NEON_HW_087_21Oct19_Alder_Inf_300SA_IATp03_1_01_49537.zip
nmdc:omprc-11-0540r248,SanClements_NEON_CW_057_14Oct19_Alder_Inf_300SA_IATp03_1_01_49355.zip
nmdc:omprc-11-06ahtn67,SanClements_NEON_CW_033_11Oct19_Alder_Inf_300SA_IATp05_1_01_49208.zip
nmdc:omprc-11-081km054,SanClements_NEON_CW_024_14Oct19_Alder_Inf_300SA_IATp03_1_01_49318.zip
nmdc:omprc-11-0gr1mk34,SanClements_NEON_HW_016_17Oct19_Alder_Inf_300SA_IATp03_1_01_49425.zip
nmdc:omprc-11-0p27v352,SanClements_NEON_HW_023_17Oct19_Alder_Inf_300SA_IATp03_1_01_49432.zip
nmdc:omprc-11-0p3ma417,SanClements_NEON_HW_083_21Oct19_Alder_Inf_300SA_IATp03_1_01_49534.zip
nmdc:omprc-11-0v266597,SanClements_NEON_CW_017_14Oct19_Alder_Inf_300SA_IATp03_1_01_49311.zip
nmdc:omprc-11-0w9j2w89,SanClements_NEON_HW_044_17Oct19_Alder_Inf_300SA_IATp03_1_01_49455.zip
nmdc:omprc-11-1dnzvm23,SanClements_NEON_HW_015_17Oct19_Alder_Inf_300SA_IATp03_1_01_49424.zip
nmdc:omprc-11-1esr8426,SanClements_NEON_CW_061_14Oct19_Alder_Inf_300SA_IATp03_1_01_49359.zip
nmdc:omprc-11-1jzf0188,SanClements_NEON_CW_092_11Oct19_Alder_Inf_300SA_IATp05_1_01_49271.zip
nmdc:omprc-11-1qzrbd67,SanClements_NEON_HW_071_22Oct19_Alder_Inf_300SA_IATp05_1_01_49551.zip
nmdc:omprc-11-1r5m7104,SanClements_NEON_CW_063_14Oct19_Alder_Inf_300SA_IATp03_1_01_49361.zip
nmdc:omprc-11-1w5kr793,SanClements_NEON_CW_004_14Oct19_Alder_Inf_300SA_IATp03_1_01_49298.zip
nmdc:omprc-11-26s7kg92,SanClements_NEON_CW_091_11Oct19_Alder_Inf_300SA_IATp05_1_01_49270.zip
nmdc:omprc-11-28hj9v30,SanClements_NEON_HW_075_17Oct19_Alder_Inf_300SA_IATp03_1_01_49488.zip
nmdc:omprc-11-2cqptn57,SanClements_NEON_CW_011_14Oct19_Alder_Inf_300SA_IATp03_1_01_49305.zip
nmdc:omprc-11-2hh4er16,SanClements_NEON_CW_025_14Oct19_Alder_Inf_300SA_IATp03_1_01_49319.zip
nmdc:omprc-11-2r4tf062,SanClements_NEON_CW_058_14Oct19_Alder_Inf_300SA_IATp03_1_01_49356.zip
nmdc:omprc-11-3d8xvx18,SanClements_NEON_HW_062_17Oct19_Alder_Inf_300SA_IATp03_1_01_49475.zip
nmdc:omprc-11-3gfb0e75,SanClements_NEON_CW_009_14Oct19_Alder_Inf_300SA_IATp03_1_01_49303.zip
nmdc:omprc-11-3m417n45,SanClements_NEON_HW_081_21Oct19_Alder_Inf_300SA_IATp03_1_01_49533.zip
nmdc:omprc-11-3wg26643,SanClements_NEON_HW_061_17Oct19_Alder_Inf_300SA_IATp03_1_01_49474.zip
nmdc:omprc-11-41p2se78,SanClements_NEON_HW_068_17Oct19_Alder_Inf_300SA_IATp03_1_01_49481.zip
nmdc:omprc-11-42p9hv43,SanClements_NEON_CW_073_11Oct19_Alder_Inf_300SA_IATp05_1_01_49250.zip
nmdc:omprc-11-48vrx293,SanClements_NEON_CW_065_14Oct19_Alder_Inf_300SA_IATp03_1_01_49363.zip
nmdc:omprc-11-4ccwrf71,SanClements_NEON_HW_032_17Oct19_Alder_Inf_300SA_IATp03_1_01_49443.zip
nmdc:omprc-11-4n27hk36,SanClements_NEON_CW_008_14Oct19_Alder_Inf_300SA_IATp03_1_01_49302.zip
nmdc:omprc-11-4p36y692,SanClements_NEON_CW_028_14Oct19_Alder_Inf_300SA_IATp03_1_01_49324.zip
